;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
;;;;;;154;;;73.98
;;;;;;155;;;64.5
;;;;;;156;;;53.42
;;;;;;157;;;39.72
;;;;;;158;;;24.63
;;;;;;159;;;7.18
;;;;;;160;;;-12.29
;;;;;;161;;;-27.13
;;;;;;162;;;-33.75
;;;;;;163;;;-35.84
;;;;;;164;;;-37.22
;;;;;;165;;;-37.81
;;;;;;166;;;-37.14
;;;;;;167;;;-35.92
;;;;;;168;;;-34.79
;;;;;;169;;;-33.78
;;;;;;170;;;-32.33
;;;;;;171;;;-29.5
;;;;;;172;;;-24.44
;;;;;;173;;;-15.72
;;;;;;174;;;-4.41
;;;;;;175;;;7.15
;;;;;;176;;;18.88
;;;;;;177;;;30.87
;;;;;;178;;;42.77
;;;;;;179;;;53.83
;;;;;;180;;;63.22
;;;;;;181;;;71.31
;;;;;;182;;;79.39
;;;;;;183;;;86.96
;;;;;;184;;;92.05
;;;;;;185;;;93.5
;;;;;;186;;;92.23
;;;;;;187;;;90.46
;;;;;;188;;;89.18
;;;;;;189;;;88.24
;;;;;;190;;;87.34
;;;;;;191;;;85.73
;;;;;;192;;;82.61
;;;;;;193;;;77.34
;;;;;;194;;;70.57
;;;;;;195;;;62.82
;;;;;;196;;;53.12
;;;;;;197;;;40.87
;;;;;;198;;;26.25
;;;;;;199;;;10.93
;;;;;;200;;;-4.38
;;;;;;201;;;-18.44
;;;;;;202;;;-28.99
;;;;;;203;;;-37.88
;;;;;;204;;;-46.29
;;;;;;205;;;-52.22
;;;;;;206;;;-55.22
;;;;;;207;;;-56.41
;;;;;;208;;;-56.56
;;;;;;209;;;-55.94
;;;;;;210;;;-54.65
;;;;;;211;;;-52.63
;;;;;;212;;;-49.54
;;;;;;213;;;-44.28
;;;;;;214;;;-35.15
;;;;;;215;;;-22.4
;;;;;;216;;;-8.75
;;;;;;217;;;4.57
;;;;;;218;;;18.55
;;;;;;219;;;33.21
;;;;;;220;;;46.95
;;;;;;221;;;58.7
;;;;;;222;;;68.33
;;;;;;223;;;76.14
;;;;;;224;;;84.26
;;;;;;225;;;93.15
;;;;;;226;;;99.12
;;;;;;227;;;99.87
;;;;;;228;;;97.76
;;;;;;229;;;95.96
;;;;;;230;;;94.79
;;;;;;231;;;92.85
;;;;;;232;;;89.1
;;;;;;233;;;83.65
;;;;;;234;;;77.33
;;;;;;235;;;69.84
;;;;;;236;;;59.94
;;;;;;237;;;47.21
;;;;;;238;;;31.13
;;;;;;239;;;10.76
;;;;;;240;;;-12.24
;;;;;;241;;;-32.35
;;;;;;242;;;-46.94
;;;;;;243;;;-56.38
;;;;;;244;;;-60.81
;;;;;;245;;;-62.42
;;;;;;246;;;-63
;;;;;;247;;;-62.5
;;;;;;248;;;-61.11
;;;;;;249;;;-59.47
;;;;;;250;;;-57.62
;;;;;;251;;;-54.4
;;;;;;252;;;-48.89
;;;;;;253;;;-40.92
;;;;;;254;;;-30.29
;;;;;;255;;;-17.34
;;;;;;256;;;-4.02
;;;;;;257;;;8.91
;;;;;;258;;;22.35
;;;;;;259;;;36.52
;;;;;;260;;;50.79
;;;;;;261;;;64.41
;;;;;;262;;;77.52
;;;;;;263;;;90.49
;;;;;;264;;;99.19
;;;;;;265;;;99.51
;;;;;;266;;;95.64
;;;;;;267;;;92.35
;;;;;;268;;;90.26
;;;;;;269;;;88.51
;;;;;;270;;;85.86
;;;;;;271;;;81.32
;;;;;;272;;;75.03
;;;;;;273;;;67.87
;;;;;;274;;;59.15
;;;;;;275;;;48.31
;;;;;;276;;;35.64
;;;;;;277;;;21.3
;;;;;;278;;;5.45
;;;;;;279;;;-12.36
;;;;;;280;;;-28.69
;;;;;;281;;;-40.08
;;;;;;282;;;-47.61
;;;;;;283;;;-53.07
;;;;;;284;;;-57.4
;;;;;;285;;;-60.05
;;;;;;286;;;-60.46
;;;;;;287;;;-58.9
;;;;;;288;;;-56.36
;;;;;;289;;;-53.54
;;;;;;290;;;-50.17
;;;;;;291;;;-44.87
;;;;;;292;;;-35.69
;;;;;;293;;;-21.91
;;;;;;294;;;-6.31
;;;;;;295;;;8.56
;;;;;;296;;;22.73
;;;;;;297;;;36.23
;;;;;;298;;;48.88
;;;;;;299;;;60.09
;;;;;;300;;;70.58
;;;;;;301;;;83.39
;;;;;;302;;;95.71
;;;;;;303;;;100.06
;;;;;;304;;;97.78
;;;;;;305;;;95.06
;;;;;;306;;;93.77
;;;;;;307;;;92.64
;;;;;;308;;;91.24
;;;;;;309;;;90.41
;;;;;;310;;;89.61
;;;;;;311;;;87.66
;;;;;;312;;;83.7
;;;;;;313;;;77.57
;;;;;;314;;;70.28
;;;;;;315;;;61.75
;;;;;;316;;;50.49
;;;;;;317;;;36.8
;;;;;;318;;;20.56
;;;;;;319;;;2.74
;;;;;;320;;;-15.76
;;;;;;321;;;-34.51
;;;;;;322;;;-49.2
;;;;;;323;;;-57.29
;;;;;;324;;;-60.11
;;;;;;325;;;-60.22
;;;;;;326;;;-58.89
;;;;;;327;;;-55.93
;;;;;;328;;;-52.02
;;;;;;329;;;-47.85
;;;;;;330;;;-42.9
;;;;;;331;;;-36.38
;;;;;;332;;;-27.67
;;;;;;333;;;-16.97
;;;;;;334;;;-5.59
;;;;;;335;;;6.45
;;;;;;336;;;19.54
;;;;;;337;;;33.3
;;;;;;338;;;46.73
;;;;;;339;;;58.84
;;;;;;340;;;68.94
;;;;;;341;;;78.71
;;;;;;342;;;89.1
;;;;;;343;;;95.08
;;;;;;344;;;94.27
;;;;;;345;;;91.3
;;;;;;346;;;89.89
;;;;;;347;;;89.41
;;;;;;348;;;88.52
;;;;;;349;;;87.36
;;;;;;350;;;85.8
;;;;;;351;;;82.47
;;;;;;352;;;76.69
;;;;;;353;;;69.56
;;;;;;354;;;61.02
;;;;;;355;;;49.72
;;;;;;356;;;36.15
;;;;;;357;;;21.55
;;;;;;358;;;7
;;;;;;359;;;-9.72
;;;;;;360;;;-29.82
;;;;;;361;;;-48.63
;;;;;;362;;;-60.28
;;;;;;363;;;-63.96
;;;;;;364;;;-64.2
;;;;;;365;;;-63.45
;;;;;;366;;;-61.69
;;;;;;367;;;-58.83
;;;;;;368;;;-54.72
;;;;;;369;;;-49.12
;;;;;;370;;;-41.86
;;;;;;371;;;-32.56
;;;;;;372;;;-21.07
;;;;;;373;;;-8.65
;;;;;;374;;;3.91
;;;;;;375;;;17.3
;;;;;;376;;;31.96
;;;;;;377;;;46.8
;;;;;;378;;;59.96
;;;;;;379;;;70.88
;;;;;;380;;;81.17
;;;;;;381;;;91.15
;;;;;;382;;;97.5
;;;;;;383;;;98.31
;;;;;;384;;;95.63
;;;;;;385;;;92.75
;;;;;;386;;;90.96
;;;;;;387;;;89.6
;;;;;;388;;;88.34
;;;;;;389;;;87.5
;;;;;;390;;;86.79
;;;;;;391;;;84.94
;;;;;;392;;;80.51
;;;;;;393;;;74.54
;;;;;;394;;;67.98
;;;;;;395;;;59.52
;;;;;;396;;;48.3
;;;;;;397;;;34.14
;;;;;;398;;;17.21
;;;;;;399;;;-3.77
;;;;;;400;;;-27.92
;;;;;;401;;;-50.15
;;;;;;402;;;-64.01
;;;;;;403;;;-67.69
;;;;;;404;;;-66.91
;;;;;;405;;;-65.31
;;;;;;406;;;-62.58
;;;;;;407;;;-58.85
;;;;;;408;;;-54.13
;;;;;;409;;;-48.04
;;;;;;410;;;-40.18
;;;;;;411;;;-30.06
;;;;;;412;;;-18.14
;;;;;;413;;;-5.79
;;;;;;414;;;7.51
;;;;;;415;;;22.54
;;;;;;416;;;37.1
;;;;;;417;;;49.43
;;;;;;418;;;60.51
;;;;;;419;;;72.7
;;;;;;420;;;85.11
;;;;;;421;;;92.71
;;;;;;422;;;93.63
;;;;;;423;;;90.7
;;;;;;424;;;87.74
;;;;;;425;;;86.41
;;;;;;426;;;85.85
;;;;;;427;;;85.03
;;;;;;428;;;83.2
;;;;;;429;;;79.58
;;;;;;430;;;73.77
;;;;;;431;;;66.85
;;;;;;432;;;60.39
;;;;;;433;;;54.52
;;;;;;434;;;47.86
;;;;;;435;;;39.17
;;;;;;436;;;27.81
;;;;;;437;;;12.97
;;;;;;438;;;-5.32
;;;;;;439;;;-23.88
;;;;;;440;;;-40.14
;;;;;;441;;;-54.69
;;;;;;442;;;-65.85
;;;;;;443;;;-71.35
;;;;;;444;;;-72.41
;;;;;;445;;;-71.45
;;;;;;446;;;-69.48
;;;;;;447;;;-66.66
;;;;;;448;;;-63.41
;;;;;;449;;;-59.86
;;;;;;450;;;-55.73
;;;;;;451;;;-50.35
;;;;;;452;;;-43.1
;;;;;;453;;;-33.11
;;;;;;454;;;-20.09
;;;;;;455;;;-5.29
;;;;;;456;;;9.88
;;;;;;457;;;25.43
;;;;;;458;;;41.75
;;;;;;459;;;57.41
;;;;;;460;;;71.15
;;;;;;461;;;83.83
;;;;;;462;;;93.47
;;;;;;463;;;95.3
;;;;;;464;;;92.2
;;;;;;465;;;90.87
;;;;;;466;;;90.88
;;;;;;467;;;89.71
;;;;;;468;;;88.31
;;;;;;469;;;87.49
;;;;;;470;;;86.59
;;;;;;471;;;85.74
;;;;;;472;;;85.26
;;;;;;473;;;84.78
;;;;;;474;;;84.04
;;;;;;475;;;83.04
;;;;;;476;;;81.96
;;;;;;477;;;81.2
;;;;;;478;;;80.94
;;;;;;479;;;80.98
;;;;;;480;;;80.83
;;;;;;481;;;80.32
;;;;;;482;;;79.73
;;;;;;483;;;79.29
;;;;;;484;;;79.13
;;;;;;485;;;79.05
;;;;;;486;;;78.83
;;;;;;487;;;78.53
;;;;;;488;;;78.34
;;;;;;489;;;78.06
;;;;;;490;;;77.58
;;;;;;491;;;77.1
;;;;;;492;;;77
;;;;;;493;;;77.21
;;;;;;494;;;77.27
;;;;;;495;;;77.03
;;;;;;496;;;76.82
;;;;;;497;;;76.78
;;;;;;498;;;76.51
;;;;;;499;;;76.08
;;;;;;500;;;75.93
;;;;;;501;;;75.99
