;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
;;;;;47;149.73;79.74;;74.57
;;;;;48;132.64;73.97;;74.66
;;;;;49;108.34;66.32;;74.69
;;;;;50;106.67;67.08;;74.72
;;;;;51;97.76;72.41;;74.72
;;;;;52;141.48;117.12;;74.66
;;;;;53;143.03;122.34;;74.63
;;;;;54;116.08;71.61;;74.67
;;;;;55;124.07;60.26;;74.74
;;;;;56;112.39;77.68;;74.81
;;;;;57;119.71;81.27;;74.82
;;;;;58;166.36;72.81;;74.77
;;;;;59;172.82;84.08;;74.72
;;;;;60;129.6;79.07;;74.69
;;;;;61;95.73;70.37;;74.24
;;;;;62;116.35;85.05;;71.81
;;;;;63;132.77;100.05;;64.92
;;;;;64;149.53;99.97;;52.89
;;;;;65;159;82.34;;36.93
;;;;;66;118.49;72.24;;18.2
;;;;;67;79.02;67.22;;-0.06
;;;;;68;91.2;74.75;;-15.28
;;;;;69;128.59;79.82;;-27.65
;;;;;70;164.11;74.68;;-36.92
;;;;;71;144.16;66.71;;-42.31
;;;;;72;79.54;43.34;;-43.03
;;;;;73;59.94;29.04;;-39.02
;;;;;74;55.04;28.45;;-30.75
;;;;;75;56.79;26.94;;-18.9
;;;;;76;52.31;26.81;;-5.92
;;;;;;77;;;7.16
;;;;;;78;;;21.44
;;;;;;79;;;36.3
;;;;;;80;;;50.94
;;;;;;81;;;64.56
;;;;;;82;;;76.39
;;;;;;83;;;86.79
;;;;;;84;;;94.79
;;;;;;85;;;97.32
;;;;;;86;;;93.16
;;;;;;87;;;84.04
;;;;;;88;;;72.27
;;;;;;89;;;58.96
;;;;;;90;;;44.62
;;;;;;91;;;29.68
;;;;;;92;;;15.66
;;;;;;93;;;2.93
;;;;;;94;;;-8.35
;;;;;;95;;;-17.85
;;;;;;96;;;-26.83
;;;;;;97;;;-34.84
;;;;;;98;;;-40.58
;;;;;;99;;;-42.91
;;;;;;100;;;-41.32
;;;;;;101;;;-35.92
;;;;;;102;;;-27.1
;;;;;;103;;;-15.93
;;;;;;104;;;-4.83
;;;;;;105;;;5.87
;;;;;;106;;;17.38
;;;;;;107;;;29.33
;;;;;;108;;;41.47
;;;;;;109;;;53.66
;;;;;;110;;;65.01
;;;;;;111;;;74.55
;;;;;;112;;;83.12
;;;;;;113;;;90.92
;;;;;;114;;;95.69
;;;;;;115;;;95.3
;;;;;;116;;;89.93
;;;;;;117;;;81.31
;;;;;;118;;;70.56
;;;;;;119;;;58.31
;;;;;;120;;;43.86
;;;;;;121;;;28.8
;;;;;;122;;;14.83
;;;;;;123;;;1.75
;;;;;;124;;;-10.85
;;;;;;125;;;-23.55
;;;;;;126;;;-35.55
;;;;;;127;;;-45.02
;;;;;;128;;;-49.7
;;;;;;129;;;-49.68
;;;;;;130;;;-45.8
;;;;;;131;;;-37.94
;;;;;;132;;;-26.16
;;;;;;133;;;-12.83
;;;;;;134;;;0.18
;;;;;;135;;;13.62
;;;;;;136;;;28.03
;;;;;;137;;;42.94
;;;;;;138;;;57.36
;;;;;;139;;;70.62
;;;;;;140;;;82.32
;;;;;;141;;;93.08
;;;;;;142;;;101.81
;;;;;;143;;;105.08
;;;;;;144;;;101.8
;;;;;;145;;;93.53
;;;;;;146;;;82.63
;;;;;;147;;;70.35
;;;;;;148;;;56.92
;;;;;;149;;;42.73
;;;;;;150;;;28.27
;;;;;;151;;;14.75
;;;;;;152;;;1.78
;;;;;;153;;;-10.18
;;;;;;154;;;-20.89
;;;;;;155;;;-31.72
;;;;;;156;;;-41.53
;;;;;;157;;;-48.21
;;;;;;158;;;-50.97
;;;;;;159;;;-50.24
;;;;;;160;;;-45.84
;;;;;;161;;;-37.27
;;;;;;162;;;-24.96
;;;;;;163;;;-11.5
;;;;;;164;;;0.73
;;;;;;165;;;12.42
;;;;;;166;;;24.48
;;;;;;167;;;36.9
;;;;;;168;;;49.4
;;;;;;169;;;61.51
;;;;;;170;;;73.25
;;;;;;171;;;84.69
;;;;;;172;;;95.44
;;;;;;173;;;103.06
;;;;;;174;;;104.15
;;;;;;175;;;98.5
;;;;;;176;;;88.9
;;;;;;177;;;77.62
;;;;;;178;;;65.34
;;;;;;179;;;51.37
;;;;;;180;;;35.82
;;;;;;181;;;21.32
;;;;;;182;;;8.57
;;;;;;183;;;-4.01
;;;;;;184;;;-16.43
;;;;;;185;;;-28.07
;;;;;;186;;;-38.08
;;;;;;187;;;-45
;;;;;;188;;;-47.95
;;;;;;189;;;-47.3
;;;;;;190;;;-43.35
;;;;;;191;;;-35.62
;;;;;;192;;;-24.27
;;;;;;193;;;-11.51
;;;;;;194;;;1.04
;;;;;;195;;;14.08
;;;;;;196;;;27.96
;;;;;;197;;;42.33
;;;;;;198;;;56.83
;;;;;;199;;;70.58
;;;;;;200;;;82.78
;;;;;;201;;;94.1
;;;;;;202;;;105.35
;;;;;;203;;;113.98
;;;;;;204;;;115.76
;;;;;;205;;;110.87
;;;;;;206;;;102.15
;;;;;;207;;;91.57
;;;;;;208;;;80.17
;;;;;;209;;;68.06
;;;;;;210;;;54.92
;;;;;;211;;;40.39
;;;;;;212;;;24.26
;;;;;;213;;;9.26
;;;;;;214;;;-3.74
;;;;;;215;;;-15.68
;;;;;;216;;;-26.9
;;;;;;217;;;-37.69
;;;;;;218;;;-45.61
;;;;;;219;;;-49.34
;;;;;;220;;;-49.71
;;;;;;221;;;-47.52
;;;;;;222;;;-42.21
;;;;;;223;;;-33.15
;;;;;;224;;;-20.8
;;;;;;225;;;-7.84
;;;;;;226;;;4.27
;;;;;;227;;;16.77
;;;;;;228;;;30.16
;;;;;;229;;;44.05
;;;;;;230;;;57.48
;;;;;;231;;;70.07
;;;;;;232;;;81.48
;;;;;;233;;;91.93
;;;;;;234;;;102.19
;;;;;;235;;;109.95
;;;;;;236;;;111.58
;;;;;;237;;;106.82
;;;;;;238;;;97.83
;;;;;;239;;;86.96
;;;;;;240;;;75.06
;;;;;;241;;;62
;;;;;;242;;;48.03
;;;;;;243;;;34.13
;;;;;;244;;;21.39
;;;;;;245;;;9.48
;;;;;;246;;;-2.65
;;;;;;247;;;-15.19
;;;;;;248;;;-27.63
;;;;;;249;;;-38.26
;;;;;;250;;;-45
;;;;;;251;;;-46.97
;;;;;;252;;;-44.68
;;;;;;253;;;-38.78
;;;;;;254;;;-29.27
;;;;;;255;;;-16.9
;;;;;;256;;;-4.35
;;;;;;257;;;7.69
;;;;;;258;;;20.82
;;;;;;259;;;34.88
;;;;;;260;;;49.15
;;;;;;261;;;62.85
;;;;;;262;;;75.28
;;;;;;263;;;86.25
;;;;;;264;;;96.69
;;;;;;265;;;107.51
;;;;;;266;;;116.43
;;;;;;267;;;119.94
;;;;;;268;;;117.04
;;;;;;269;;;109.29
;;;;;;270;;;99.13
;;;;;;271;;;87.87
;;;;;;272;;;75.52
;;;;;;273;;;61.99
;;;;;;274;;;47.27
;;;;;;275;;;32.28
;;;;;;276;;;17.77
;;;;;;277;;;4.28
;;;;;;278;;;-8.36
;;;;;;279;;;-20.75
;;;;;;280;;;-31.92
;;;;;;281;;;-40.6
;;;;;;282;;;-45.45
;;;;;;283;;;-46.25
;;;;;;284;;;-43.37
;;;;;;285;;;-36.65
;;;;;;286;;;-26.08
;;;;;;287;;;-13.24
;;;;;;288;;;-0.36
;;;;;;289;;;12.81
;;;;;;290;;;27.21
;;;;;;291;;;42.41
;;;;;;292;;;57.68
;;;;;;293;;;71.96
;;;;;;294;;;84.31
;;;;;;295;;;95.64
;;;;;;296;;;106.85
;;;;;;297;;;115.38
;;;;;;298;;;117.42
;;;;;;299;;;113.07
;;;;;;300;;;105.16
;;;;;;301;;;95.15
;;;;;;302;;;83.86
;;;;;;303;;;71.39
;;;;;;304;;;57.62
;;;;;;305;;;42.68
;;;;;;306;;;27.92
;;;;;;307;;;13.89
;;;;;;308;;;0.18
;;;;;;309;;;-13.02
;;;;;;310;;;-26.12
;;;;;;311;;;-38.6
;;;;;;312;;;-48.5
;;;;;;313;;;-53.32
;;;;;;314;;;-53.07
;;;;;;315;;;-49.14
;;;;;;316;;;-41.41
;;;;;;317;;;-29.88
;;;;;;318;;;-16.04
;;;;;;319;;;-2.54
;;;;;;320;;;10.7
;;;;;;321;;;25.3
;;;;;;322;;;41.03
;;;;;;323;;;56.57
;;;;;;324;;;70.55
;;;;;;325;;;82.9
;;;;;;326;;;94.6
;;;;;;327;;;105.5
;;;;;;328;;;112.67
;;;;;;329;;;113.45
;;;;;;330;;;108.32
;;;;;;331;;;99.68
;;;;;;332;;;89.17
;;;;;;333;;;77.2
;;;;;;334;;;63.8
;;;;;;335;;;48.33
;;;;;;336;;;33.01
;;;;;;337;;;18.83
;;;;;;338;;;5.79
;;;;;;339;;;-5.4
;;;;;;340;;;-16.14
;;;;;;341;;;-26.88
;;;;;;342;;;-37.12
;;;;;;343;;;-45.12
;;;;;;344;;;-49.08
;;;;;;345;;;-48.95
;;;;;;346;;;-45.22
;;;;;;347;;;-37.44
;;;;;;348;;;-25.47
;;;;;;349;;;-11.39
;;;;;;350;;;2.19
;;;;;;351;;;15.49
;;;;;;352;;;29.62
;;;;;;353;;;44.11
;;;;;;354;;;57.52
;;;;;;355;;;69.14
;;;;;;356;;;79.09
;;;;;;357;;;87.77
;;;;;;358;;;95.83
;;;;;;359;;;101.65
;;;;;;360;;;103.41
;;;;;;361;;;102.14
;;;;;;362;;;100.01
;;;;;;363;;;98.38
;;;;;;364;;;97.36
;;;;;;365;;;96.54
;;;;;;366;;;95.64
;;;;;;367;;;94.81
;;;;;;368;;;94.12
;;;;;;369;;;93.51
;;;;;;370;;;92.96
;;;;;;371;;;92.47
;;;;;;372;;;92.07
;;;;;;373;;;91.79
;;;;;;374;;;91.51
;;;;;;375;;;91.14
;;;;;;376;;;90.72
;;;;;;377;;;90.28
;;;;;;378;;;89.85
;;;;;;379;;;89.45
;;;;;;380;;;89.18
;;;;;;381;;;89.02
