;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
;;;;;;146;;;-29.36
;;;;;;147;;;-38.89
;;;;;;148;;;-45.97
;;;;;;149;;;-49.63
;;;;;;150;;;-50.31
;;;;;;151;;;-48.8
;;;;;;152;;;-45.35
;;;;;;153;;;-39.76
;;;;;;154;;;-32
;;;;;;155;;;-22.42
;;;;;;156;;;-12.58
;;;;;;157;;;-3.78
;;;;;;158;;;4.97
;;;;;;159;;;14.42
;;;;;;160;;;24.28
;;;;;;161;;;34.04
;;;;;;162;;;43.23
;;;;;;163;;;51.88
;;;;;;164;;;59.96
;;;;;;165;;;67.41
;;;;;;166;;;74.9
;;;;;;167;;;82.32
;;;;;;168;;;89.18
;;;;;;169;;;94.82
;;;;;;170;;;97.94
;;;;;;171;;;97.92
;;;;;;172;;;95.2
;;;;;;173;;;90.61
;;;;;;174;;;84.84
;;;;;;175;;;78.23
;;;;;;176;;;71.14
;;;;;;177;;;63.88
;;;;;;178;;;56.27
;;;;;;179;;;48.25
;;;;;;180;;;39.78
;;;;;;181;;;31.59
;;;;;;182;;;24.02
;;;;;;183;;;16.54
;;;;;;184;;;9.16
;;;;;;185;;;2.17
;;;;;;186;;;-4.39
;;;;;;187;;;-10.99
;;;;;;188;;;-17.54
;;;;;;189;;;-23.8
;;;;;;190;;;-29.24
;;;;;;191;;;-33.02
;;;;;;192;;;-34.47
;;;;;;193;;;-33.46
;;;;;;194;;;-29.93
;;;;;;195;;;-23.79
;;;;;;196;;;-16.1
;;;;;;197;;;-8.46
;;;;;;198;;;-0.58
;;;;;;199;;;8.23
;;;;;;200;;;17.65
;;;;;;201;;;27.29
;;;;;;202;;;36.99
;;;;;;203;;;46.35
;;;;;;204;;;55.03
;;;;;;205;;;63.01
;;;;;;206;;;70.09
;;;;;;207;;;76.56
;;;;;;208;;;82.46
;;;;;;209;;;87.27
;;;;;;210;;;90.68
;;;;;;211;;;91.75
;;;;;;212;;;90.03
;;;;;;213;;;86.17
;;;;;;214;;;80.87
;;;;;;215;;;74.38
;;;;;;216;;;67.3
;;;;;;217;;;59.81
;;;;;;218;;;51.44
;;;;;;219;;;41.78
;;;;;;220;;;31.86
;;;;;;221;;;22.69
;;;;;;222;;;14.02
;;;;;;223;;;5.72
;;;;;;224;;;-3.22
;;;;;;225;;;-12.08
;;;;;;226;;;-20.19
;;;;;;227;;;-27.98
;;;;;;228;;;-34.4
;;;;;;229;;;-38.19
;;;;;;230;;;-38.77
;;;;;;231;;;-36.15
;;;;;;232;;;-30.58
;;;;;;233;;;-22.52
;;;;;;234;;;-13.65
;;;;;;235;;;-4.99
;;;;;;236;;;4.21
;;;;;;237;;;14.34
;;;;;;238;;;24.95
;;;;;;239;;;35.71
;;;;;;240;;;46.16
;;;;;;241;;;55.68
;;;;;;242;;;64.3
;;;;;;243;;;71.76
;;;;;;244;;;78.22
;;;;;;245;;;83.82
;;;;;;246;;;88.11
;;;;;;247;;;90.81
;;;;;;248;;;91.23
;;;;;;249;;;89.22
;;;;;;250;;;85.3
;;;;;;251;;;79.62
;;;;;;252;;;72.67
;;;;;;253;;;64.98
;;;;;;254;;;56.47
;;;;;;255;;;47.02
;;;;;;256;;;37.13
;;;;;;257;;;28.09
;;;;;;258;;;19.9
;;;;;;259;;;12.22
;;;;;;260;;;4.91
;;;;;;261;;;-2.7
;;;;;;262;;;-10.07
;;;;;;263;;;-17.1
;;;;;;264;;;-23.99
;;;;;;265;;;-30.13
;;;;;;266;;;-34.59
;;;;;;267;;;-36.38
;;;;;;268;;;-35.39
;;;;;;269;;;-32.05
;;;;;;270;;;-26.38
;;;;;;271;;;-18.71
;;;;;;272;;;-10.71
;;;;;;273;;;-2.98
;;;;;;274;;;5.19
;;;;;;275;;;13.9
;;;;;;276;;;22.98
;;;;;;277;;;32.47
;;;;;;278;;;42.23
;;;;;;279;;;51.63
;;;;;;280;;;60.5
;;;;;;281;;;68.57
;;;;;;282;;;75.62
;;;;;;283;;;81.71
;;;;;;284;;;86.72
;;;;;;285;;;90.58
;;;;;;286;;;92.53
;;;;;;287;;;91.85
;;;;;;288;;;88.71
;;;;;;289;;;84.11
;;;;;;290;;;78.64
;;;;;;291;;;72.35
;;;;;;292;;;65.49
;;;;;;293;;;57.9
;;;;;;294;;;49.17
;;;;;;295;;;39.41
;;;;;;296;;;30.07
;;;;;;297;;;21.86
;;;;;;298;;;14.16
;;;;;;299;;;6.42
;;;;;;300;;;-1.84
;;;;;;301;;;-10.04
;;;;;;302;;;-17.64
;;;;;;303;;;-24.74
;;;;;;304;;;-30.94
;;;;;;305;;;-35.18
;;;;;;306;;;-36.97
;;;;;;307;;;-36.92
;;;;;;308;;;-35.51
;;;;;;309;;;-32.61
;;;;;;310;;;-27.64
;;;;;;311;;;-20.42
;;;;;;312;;;-12.46
;;;;;;313;;;-4.76
;;;;;;314;;;3.42
;;;;;;315;;;12.12
;;;;;;316;;;20.9
;;;;;;317;;;29.74
;;;;;;318;;;38.44
;;;;;;319;;;46.58
;;;;;;320;;;53.88
;;;;;;321;;;60.64
;;;;;;322;;;66.94
;;;;;;323;;;72.77
;;;;;;324;;;78.61
;;;;;;325;;;84.11
;;;;;;326;;;88.79
;;;;;;327;;;92.21
;;;;;;328;;;93.46
;;;;;;329;;;92.11
;;;;;;330;;;88.36
;;;;;;331;;;82.88
;;;;;;332;;;76.29
;;;;;;333;;;68.98
;;;;;;334;;;60.63
;;;;;;335;;;50.62
;;;;;;336;;;39.58
;;;;;;337;;;28.9
;;;;;;338;;;19.24
;;;;;;339;;;10.36
;;;;;;340;;;2.27
;;;;;;341;;;-5.19
;;;;;;342;;;-12.25
;;;;;;343;;;-18.64
;;;;;;344;;;-24.46
;;;;;;345;;;-29.69
;;;;;;346;;;-33.53
;;;;;;347;;;-35.19
;;;;;;348;;;-34.59
;;;;;;349;;;-31.82
;;;;;;350;;;-26.41
;;;;;;351;;;-18.35
;;;;;;352;;;-9.6
;;;;;;353;;;-1.44
;;;;;;354;;;6.98
;;;;;;355;;;15.92
;;;;;;356;;;24.89
;;;;;;357;;;33.49
;;;;;;358;;;41.71
;;;;;;359;;;49.51
;;;;;;360;;;56.85
;;;;;;361;;;63.87
;;;;;;362;;;70.52
;;;;;;363;;;77.2
;;;;;;364;;;84.43
;;;;;;365;;;92.11
;;;;;;366;;;97.9
;;;;;;367;;;98.85
;;;;;;368;;;95.1
;;;;;;369;;;88.64
;;;;;;370;;;81.15
;;;;;;371;;;73.68
;;;;;;372;;;66.19
;;;;;;373;;;58.12
;;;;;;374;;;49.19
;;;;;;375;;;39.93
;;;;;;376;;;31.57
;;;;;;377;;;23.7
;;;;;;378;;;16.23
;;;;;;379;;;9.27
;;;;;;380;;;1.67
;;;;;;381;;;-6.22
;;;;;;382;;;-13.59
;;;;;;383;;;-20.71
;;;;;;384;;;-27.59
;;;;;;385;;;-33.44
;;;;;;386;;;-36.96
;;;;;;387;;;-38
;;;;;;388;;;-37.22
;;;;;;389;;;-34.79
;;;;;;390;;;-30.25
;;;;;;391;;;-23.35
;;;;;;392;;;-15.21
;;;;;;393;;;-7.51
;;;;;;394;;;-0.2
;;;;;;395;;;7.45
;;;;;;396;;;15.52
;;;;;;397;;;24.03
;;;;;;398;;;32.56
;;;;;;399;;;40.89
;;;;;;400;;;49.07
;;;;;;401;;;56.76
;;;;;;402;;;64.02
;;;;;;403;;;70.85
;;;;;;404;;;76.94
;;;;;;405;;;82.23
;;;;;;406;;;86.67
;;;;;;407;;;90.14
;;;;;;408;;;92.03
;;;;;;409;;;92.17
;;;;;;410;;;90.95
;;;;;;411;;;88.38
;;;;;;412;;;84.57
;;;;;;413;;;79.39
;;;;;;414;;;73
;;;;;;415;;;65.55
;;;;;;416;;;56.61
;;;;;;417;;;45.64
;;;;;;418;;;34.03
;;;;;;419;;;23.46
;;;;;;420;;;13.97
;;;;;;421;;;5.58
;;;;;;422;;;-1.87
;;;;;;423;;;-8.6
;;;;;;424;;;-15.16
;;;;;;425;;;-21.8
;;;;;;426;;;-28.37
;;;;;;427;;;-33.76
;;;;;;428;;;-36.57
;;;;;;429;;;-36.67
;;;;;;430;;;-34.91
;;;;;;431;;;-31.79
;;;;;;432;;;-26.9
;;;;;;433;;;-19.95
;;;;;;434;;;-12.48
;;;;;;435;;;-5.76
;;;;;;436;;;0.8
;;;;;;437;;;7.62
;;;;;;438;;;14.76
;;;;;;439;;;22.22
;;;;;;440;;;29.95
;;;;;;441;;;37.92
;;;;;;442;;;45.79
;;;;;;443;;;53.38
;;;;;;444;;;60.85
;;;;;;445;;;68.03
;;;;;;446;;;74.93
;;;;;;447;;;80.94
;;;;;;448;;;85.35
;;;;;;449;;;88.11
;;;;;;450;;;89.59
;;;;;;451;;;89.56
;;;;;;452;;;87.27
;;;;;;453;;;82.95
;;;;;;454;;;77.08
;;;;;;455;;;70.33
;;;;;;456;;;62.82
;;;;;;457;;;53.83
;;;;;;458;;;43.85
;;;;;;459;;;33.99
;;;;;;460;;;24.88
;;;;;;461;;;16.46
;;;;;;462;;;8.82
;;;;;;463;;;1.84
;;;;;;464;;;-5.28
;;;;;;465;;;-13.19
;;;;;;466;;;-21.82
;;;;;;467;;;-30.12
;;;;;;468;;;-36.43
;;;;;;469;;;-39.46
;;;;;;470;;;-39.61
;;;;;;471;;;-37.75
;;;;;;472;;;-33.75
;;;;;;473;;;-27.43
;;;;;;474;;;-19.08
;;;;;;475;;;-10.38
;;;;;;476;;;-2.15
;;;;;;477;;;6.44
;;;;;;478;;;15.41
;;;;;;479;;;24.45
;;;;;;480;;;33.84
;;;;;;481;;;43.82
;;;;;;482;;;53.57
;;;;;;483;;;62.6
;;;;;;484;;;70.93
;;;;;;485;;;78.8
;;;;;;486;;;86.84
;;;;;;487;;;94.2
;;;;;;488;;;97.81
;;;;;;489;;;96.43
;;;;;;490;;;91.4
;;;;;;491;;;84.59
;;;;;;492;;;77.36
;;;;;;493;;;69.76
;;;;;;494;;;61.42
;;;;;;495;;;51.99
;;;;;;496;;;42.35
;;;;;;497;;;32.72
;;;;;;498;;;23.9
;;;;;;499;;;16.63
;;;;;;500;;;10.1
;;;;;;501;;;3.77
;;;;;;502;;;-2.91
;;;;;;503;;;-10.27
;;;;;;504;;;-18.64
;;;;;;505;;;-27.09
;;;;;;506;;;-33.64
;;;;;;507;;;-37
;;;;;;508;;;-37.88
;;;;;;509;;;-37.14
;;;;;;510;;;-34.32
;;;;;;511;;;-28.96
;;;;;;512;;;-21.18
;;;;;;513;;;-12.3
;;;;;;514;;;-3.47
;;;;;;515;;;5.58
;;;;;;516;;;14.91
;;;;;;517;;;24.27
;;;;;;518;;;33.59
;;;;;;519;;;42.85
;;;;;;520;;;51.55
;;;;;;521;;;59.31
;;;;;;522;;;66.25
;;;;;;523;;;72.23
;;;;;;524;;;77.56
;;;;;;525;;;82.45
;;;;;;526;;;86.68
;;;;;;527;;;89.55
;;;;;;528;;;90.65
;;;;;;529;;;90.49
;;;;;;530;;;89.45
;;;;;;531;;;88.14
;;;;;;532;;;87.09
;;;;;;533;;;86.35
;;;;;;534;;;85.84
;;;;;;535;;;85.52
;;;;;;536;;;85.28
;;;;;;537;;;85.03
;;;;;;538;;;84.78
;;;;;;539;;;84.53
;;;;;;540;;;84.33
;;;;;;541;;;84.21
;;;;;;542;;;84.14
;;;;;;543;;;84.1
;;;;;;544;;;83.99
;;;;;;545;;;83.83
;;;;;;546;;;83.74
;;;;;;547;;;83.72
;;;;;;548;;;83.74
;;;;;;549;;;83.84
;;;;;;550;;;83.94
;;;;;;551;;;83.96
;;;;;;552;;;83.88
;;;;;;553;;;83.76
;;;;;;554;;;83.69
